dron	rxcui	omop
DRON_00020541	370591	40011101
DRON_00020542	370592	40011104
DRON_00020543	370593	40010844
DRON_00020544	370594	40011525
DRON_00020545	370595	40011696
DRON_00020546	370596	40011697
DRON_00020547	370597	40011519
DRON_00020548	370598	40011516
DRON_00020549	370599	40011503
DRON_00020550	370600	40011517
DRON_00020551	370601	40011717
DRON_00020552	370602	40011733
DRON_00020553	370604	40011524
DRON_00020554	370605	40012866
DRON_00020555	370608	40011765
DRON_00020556	370609	40010213
DRON_00020557	370611	40009896
DRON_00020558	370612	40009878
DRON_00020559	370614	40009842
DRON_00020560	370615	40012277
DRON_00020561	370617	40010254
DRON_00020562	370618	40003378
DRON_00020563	370619	40010622
DRON_00020564	370620	40010561
DRON_00020565	370621	40095247
DRON_00020566	370622	40095265
DRON_00020567	370623	40095250
DRON_00020568	370624	40012385
DRON_00020569	370625	40012393
DRON_00020570	370626	40095331
DRON_00020571	370627	40095329
DRON_00020572	370628	40095648
DRON_00020573	370629	40012658
DRON_00020574	370630	40044168
DRON_00020575	370631	40044778
DRON_00020576	370632	40044775
DRON_00020577	370633	40044462
DRON_00020578	370634	40044812
DRON_00020579	370635	40045756
DRON_00020580	370636	40045753
DRON_00020581	370637	40045755
DRON_00020582	370638	40007380
DRON_00020583	370639	40044851
DRON_00020584	370640	40044857
DRON_00020585	370641	40002706
DRON_00020586	370642	40002683
DRON_00020587	370643	40012579
DRON_00020588	370644	40055136
DRON_00020589	370645	40049728
DRON_00020590	370646	40050132
DRON_00020591	370647	40049698
DRON_00020592	370648	40049686
DRON_00020593	370649	40049700
DRON_00020594	370650	40050455
DRON_00020595	370651	40050828
DRON_00020596	370652	40051242
DRON_00020597	370653	40051248
DRON_00020598	370654	40051250
DRON_00020599	370655	40051253
DRON_00020600	370656	40051595
DRON_00020601	370657	40051650
DRON_00020602	370658	40051647
DRON_00020603	370659	40051982
DRON_00020604	370661	40051970
DRON_00020605	370662	40051977
DRON_00020606	370663	40051980
DRON_00020607	370664	40046008
DRON_00020608	370665	40052640
DRON_00020609	370666	40052656
DRON_00020610	370667	40052664
DRON_00020611	370669	40052646
DRON_00020612	370671	40052013
DRON_00020613	370672	40054148
DRON_00020614	370673	40054133
DRON_00020615	370674	40054158
DRON_00020616	370675	40054144
DRON_00020617	370676	40045770
DRON_00020618	370677	40053096
DRON_00020619	370678	40053099
DRON_00020620	370679	40049040
DRON_00020621	370680	40049038
DRON_00020622	370682	40049782
DRON_00020623	370683	40053018
DRON_00020624	370684	40049809
DRON_00020625	370686	40050535
DRON_00020626	370687	40050525
DRON_00020627	370688	40050539
DRON_00020628	370689	40050233
DRON_00020629	370691	40050923
DRON_00020630	370692	40053542
DRON_00020631	370694	40056637
DRON_00020632	370696	40056978
DRON_00020633	370697	40048280
DRON_00020634	370698	40048343
DRON_00020635	370700	40048699
DRON_00020636	370702	40049089
DRON_00020637	370704	40057367
DRON_00020638	370705	40045119
DRON_00020639	370706	40049890
DRON_00020640	370710	40012558
DRON_00020641	370712	40049910
DRON_00020642	370713	40050277
DRON_00020643	370714	40057724
DRON_00020644	370715	40050636
DRON_00020645	370716	40050639
DRON_00020646	370718	40051088
DRON_00020647	370719	40052465
DRON_00020648	370720	40057390
DRON_00020649	370721	40052508
DRON_00020650	370722	40052844
DRON_00020651	370723	40052888
DRON_00020652	370724	40052889
DRON_00020653	370725	40052914
DRON_00020654	370726	40053194
DRON_00020655	370727	40053225
DRON_00020656	370728	40053577
DRON_00020657	370729	40053582
DRON_00020658	370730	40053269
DRON_00020659	370731	40053270
