Moiety	UNII	DrugBank (auto)	Label (auto)	DrugBank (Bioportal)	Label (Bioportal)	DrugBank (INCHI)	Label (INCHI)
BACITRACIN	58H6RWO52I	DB00626	Bacitracin	DB00626	Bacitracin		
BACITRACIN ZINC	89Y4M234ES						
BACLOFEN	H789N3FKE8	DB00181	Baclofen	DB00181	Baclofen		
BALSALAZIDE	P80AL8J7ZP	DB01014	Balsalazide	DB01014	Balsalazide		
BALSAM PERU	8P5F881OCY						
BALSAM PERU OIL	DIK0395679						
BANANA	4AJZ4765R9						
BARIUM	24GP945V5T						
BARIUM CATION	V645272HLN						
BARLEY	5PWM7YLI7R						
BARLEY MALT	R3NBG8914U						
BASIL	2U0KZP0FDW						
BASILIXIMAB	9927MT646M	DB00074	Basiliximab				
BASSIA SCOPARIA POLLEN	07A108ZKW5						
BECAPLERMIN	1B56C968OA	DB00102	Becaplermin				
BECLOMETHASONE	KGZ1SLC28Z						
BECLOMETHASONE 17-MONOPROPIONATE	5BGA9FD55H						
BECLOMETHASONE DIPROPIONATE	5B307S63B2	DB00394	Beclometasone dipropionate	DB00394	Beclometasone dipropionate		
BEEF	4PIB2155QP						
BEEF LIVER	W8N8R55022						
BEET	N487KM8COK						
BELATACEPT	E3B2GI648A						
BELIMUMAB	73B0K5S26A						
BEMOTRIZINOL	PWZ1720CBH						
BENAZEPRIL	UDM7Q7QWP8	DB00542	Benazepril	DB00542	Benazepril		
BENAZEPRILAT	JRM708L703						
BENDAMUSTINE	9266D9P3PQ						
BENDROFLUMETHIAZIDE	5Q52X6ICJI	DB00436	Bendroflumethiazide	DB00436	Bendroflumethiazide	DB00436	Bendroflumethiazide
BENOXINATE	AXQ0JYM303	DB00892	Oxybuprocaine	DB00892	Oxybuprocaine	DB00892	Oxybuprocaine
BENZALKONIUM	7N6JUD5X6Y						
BENZETHONIUM	1VU15B70BP						
BENZOCAINE	U3RSY48JW5	DB01086	Benzocaine	DB01086	Benzocaine		
BENZOIC ACID	8SKN0B0MIM	DB03793	Benzoic Acid	DB03793	Benzoic Acid		
BENZOIN	L7J6A1NE81						
BENZOIN RESIN	GK21SBA74R						
BENZONATATE	5P4DHS6ENR	DB00868	Benzonatate	DB00868	Benzonatate		
BENZOPHENONE	701M4TTV9O	DB01878	Benzophenone			DB01878	Benzophenone
BENZOYL PEROXIDE	W9WZN9A0GM						
BENZPHETAMINE	0M3S43XK27	DB00865	Benzphetamine	DB00865	Benzphetamine		
BENZTROPINE	1NHL2J4X8K	DB00245	Benzatropine	DB00245	Benzatropine		
BENZYL ALCOHOL	LKG8494WBH						
BEPOTASTINE	HYD2U48IAS	DB04890	Bepotastine			DB04890	Bepotastine
BERACTANT	S866O45PIG						
BESIFLOXACIN	BFE2NBZ7NX						
BETA VULGARIS POLLEN	W7NU4B5CIY						
BETAINE	3SCV180C9W					DB04455	Trimethyl Glycine
BETAMETHASONE	9842X06Q6M	DB00443	Betamethasone	DB00443	Betamethasone		
BETAMETHASONE DIPROPIONATE	826Y60901U						
BETAMETHASONE VALERATE	9IFA5XM7R2						
BETAXOLOL	O0ZR1R6RZ2	DB00195	Betaxolol	DB00195	Betaxolol		
BETHANECHOL	004F72P8F4	DB01019	Bethanechol	DB01019	Bethanechol		
BETIATIDE	9NV2SR34P8						
BETULA ALLEGHANIENSIS POLLEN	3R393IX840						
BETULA LENTA POLLEN	JQ5HI5004M						
BETULA NIGRA POLLEN	93963RFO1P						
BETULA OCCIDENTALIS POLLEN	R889N2L976						
BETULA PAPYRIFERA POLLEN	3538FNV8AY						
BETULA POPULIFOLIA POLLEN	23H70FYJ5U						
BEVACIZUMAB	2S9ZZM9Q9V	DB00112	Bevacizumab				
BEXAROTENE	A61RXM4375	DB00307	Bexarotene	DB00307	Bexarotene		
BICALUTAMIDE	A0Z3NAU9DP	DB01128	Bicalutamide				
BICARBONATE ION	HN1ZRA3Q20						
BICISATE	3JXF0Z0XOI						
BIMATOPROST	QXS94885MZ	DB00905	Bimatoprost	DB00905	Bimatoprost	DB00905	Bimatoprost
BIOTIN	6SO6U10H04	DB00121	Biotin	DB00121	Biotin	DB00121	Biotin
BIPERIDEN	0FRP6G56LD	DB00810	Biperiden	DB00810	Biperiden	DB00810	Biperiden
BIRD PEPPER	JLH5RT8O28						
BISACODYL	10X0709Y6I	DB04824	Phenolphthalein				
BISMUTH	U015TT5I8H	DB01294	Bismuth Subsalicylate				
BISMUTH CATION	ZS9CD1I8YE						
BISMUTH SUBSALICYLATE	62TEY51RR1	DB01294	Bismuth Subsalicylate	DB01294	Bismuth Subsalicylate		
BISOCTRIZOLE	8NT850T0YS						
BISOPROLOL	Y41JS2NL6U	DB00612	Bisoprolol	DB00612	Bisoprolol		
BIVALIRUDIN	TN9BEX005G	DB00006	Bivalirudin				
BLACK OLIVE	2M6QWV94OC						
BLACK PEPPER	KM66971LVF						
BLACK WALNUT	02WM57RXZJ						
BLACKBERRY	8A6OMU3I8L						
BLACK-EYED PEA	786YV7B602						
BLATELLA GERMANICA	G9O67I0A8Q						
BLEOMYCIN	40S1VHN69B	DB00290	Bleomycin	DB02721	4-Iodopyrazole		
BLUE CRAB	8J18RFO4A8						
BLUE RIDGE BLUEBERRY	89Y9MUH0K5						
BLUEBERRY	253RUG1X1A						
BLUEFISH	79U8P8X3Q5						
BOCEPREVIR	89BT58KELH						
BOMBYX MORI FIBER	6LK42KUV6W						
BORAGE OIL	F8XAG1755S						
BORIC ACID	R57ZHV85D4						
BORTEZOMIB	69G8BD63PP	DB00188	Bortezomib	DB00188	Bortezomib	DB07475	N-[(1R)-1-(DIHYDROXYBORYL)-3-METHYLBUTYL]-N-(PYRAZIN-2-YLCARBONYL)-L-PHENYLALANINAMIDE
BOS TAURUS HAIR	TOQ97Z8644						
BOS TAURUS SKIN	7J12CD6O9L						
BOTRYTIS CINEREA	TBW53313S7						
BOTULINUM TOXIN TYPE A	E211KPY694	DB00083	Botulinum Toxin Type A				
BOUTELOUA GRACILIS POLLEN	2XO08315X1						
BRAZIL NUT	XKR79OET1K						
BRENTUXIMAB VEDOTIN	7XL5ISS668						
BRILLIANT GREEN	G0L543D370						
BRIMONIDINE	E6GNX3HHTE	DB00484	Brimonidine	DB00484	Brimonidine		
BRINZOLAMIDE	9451Z89515	DB01194	Brinzolamide	DB01194	Brinzolamide		
BROCCOLI	UOI4FT57BZ						
BROMFENAC	864P0921DW	DB00963	Bromfenac	DB00963	Bromfenac		
BROMOCRIPTINE	3A64E3G5ZO	DB01200	Bromocriptine	DB01200	Bromocriptine		
BROMPHENIRAMINE	H57G17P2FN	DB00835	Brompheniramine	DB00835	Brompheniramine		
BROMUS INERMIS POLLEN	766QT72BK6						
BROMUS SECALINUS POLLEN	Q4T1SJ3046						
BROUSSONETIA PAPYRIFERA POLLEN	51I6N3XIML						
BRUSSELS SPROUT	KHX46H31F8						
BUCKWHEAT	N0Y68724R3						
BUDESONIDE	Q3OKS62Q6X	DB01222	Budesonide	DB01222	Budesonide		
BUMETANIDE	0Y2S3XUQ5H	DB00887	Bumetanide	DB00887	Bumetanide		
BUPIVACAINE	Y8335394RO	DB00297	Bupivacaine	DB00297	Bupivacaine	DB00297	Bupivacaine
BUPRENORPHINE	40D3SCR4GZ	DB00921	Buprenorphine	DB00921	Buprenorphine		
BUPROPION	01ZG3TPX31	DB01156	Bupropion	DB01156	Bupropion	DB01156	Bupropion
BUSPIRONE	TK65WKS8HL	DB00490	Buspirone	DB00490	Buspirone		
BUSULFAN	G1LN9045DK	DB01008	Busulfan	DB01008	Busulfan	DB01008	Busulfan
BUTABARBITAL	P0078O25A9	DB00237	Butabarbital	DB00237	Butabarbital	DB00237	Butabarbital
BUTALBITAL	KHS0AZ4JVK	DB00241	Butalbital	DB00241	Butalbital		
BUTAMBEN	EFW857872Q						
BUTENAFINE	91Y494NL0X	DB01091	Butenafine	DB01091	Butenafine		
BUTOCONAZOLE	0Q771797PH	DB00639	Butoconazole	DB02087	3,5-Difluorobenzenesulfonamide		
BUTORPHANOL	QV897JC36D	DB00611	Butorphanol	DB00611	Butorphanol	DB00611	Butorphanol
CABAZITAXEL	51F690397J	DB06772	Cabazitaxel				
CABBAGE	GW0W1Y9I97						
CABERGOLINE	LL60K9J05T	DB00248	Cabergoline	DB00248	Cabergoline	DB00248	Cabergoline
CAFFEINE	3G6A5W338E	DB00201	Caffeine	DB00201	Caffeine	DB00201	Caffeine
CALCIPOTRIENE	143NQ3779B	DB02300	Calcipotriol	DB02300	Calcipotriol	DB02300	Calcipotriol
CALCITONIN SALMON	7SFC6U2VI5	DB00017	Salmon Calcitonin				
CALCITRIOL	FXC9231JVH	DB00136	Calcitriol	DB00136	Calcitriol		
CALCIUM	SY7Q814VUP	DB01373	Calcium	DB01373	Calcium		
CALCIUM ACETATE	Y882YXF34X	DB00258	Calcium Acetate	DB00258	Calcium Acetate		
CALCIUM ASCORBATE	183E4W213W						
CALCIUM CATION	2M83C4R6ZB						
CALCIUM CHLORIDE	M4I0D6VV5M	DB01164	Calcium Chloride				
CALCIUM GLYCEROPHOSPHATE	XWV9Z12C1C						
CALCIUM PANTOTHENATE	568ET80C3D						
CALCIUM POLYCARBOPHIL	8F049NKY49						
CALCIUM THREONATE	HBB4YPO93U						
CALFACTANT	Q4K217VGA9						
CAMPHOR (NATURAL)	N20HL7Q941						
CAMPHOR (SYNTHETIC)	5TJD82A1ET						
CAMPHOR OIL	75IZZ8Y727						
CANAKINUMAB	37CQ2C7X93	DB06168	Canakinumab				
CANDESARTAN	S8Q36MD2XX	DB00796	Candesartan	DB00796	Candesartan		
CANDIDA ALBICANS	4D7G21HDBC						
CANDIDA TROPICALIS	Q222J2186W						
CANIS LUPUS FAMILIARIS HAIR	05S7L91ZTR						
CANIS LUPUS FAMILIARIS SKIN	X2W7CLE97T						
CANTALOUPE	8QF5D5H6UH						
CAPECITABINE	6804DJ8Z9U	DB01101	Capecitabine	DB01101	Capecitabine		
CAPRA HIRCUS HAIR	16M9MK8C4W						
CAPRA HIRCUS SKIN	JLG9853E2P						
CAPREOMYCIN	232HYX66HC	DB00314	Capreomycin				
CAPROMAB PENDETIDE	BDO5072GRX	DB00089	Capromab				
CAPSAICIN	S07O44R1ZM						
CAPSICUM	00UK7646FG						
CAPSICUM OLEORESIN	UW86K581WY						
CAPTOPRIL	9G64RSX1XD	DB01197	Captopril	DB01197	Captopril	DB01197	Captopril
CARAWAY SEED	W2FH8O2BBE						
CARBACHOL	8Y164V895Y	DB00411	Carbachol	DB00411	Carbachol		
CARBAMAZEPINE	33CM23913M	DB00564	Carbamazepine	DB00564	Carbamazepine	DB00564	Carbamazepine
CARBAMIDE PEROXIDE	31PZ2VAU81						
CARBAMOYLCHOLINE	54Z8M50D6Q						
CARBENICILLIN	G42ZU72N5G	DB00578	Carbenicillin	DB00578	Carbenicillin		
CARBIDOPA	MNX7R8C5VO	DB00190	Carbidopa	DB00190	Carbidopa		
CARBIDOPA ANHYDROUS	KR87B45RGH	DB00190	Carbidopa				
CARBINOXAMINE	982A7M02H5	DB00748	Carbinoxamine	DB00748	Carbinoxamine		
CARBON DIOXIDE	142M471B3J						
CARBONATE ION	7UJQ5OPE7D						
CARBOPLATIN	BG3F62OND5	DB00958	Carboplatin	DB00958	Carboplatin		
CARBOPROST	7B5032XT6O	DB00429	Carboprost Tromethamine				
CARBOXYMETHYLCELLULOSE	05JZI7B19X						
CARFILZOMIB	72X6E3J5AR						
CARGLUMIC ACID	5L0HB4V1EW	DB06775	Carglumic acid				
CARISOPRODOL	21925K482H	DB00395	Carisoprodol	DB00395	Carisoprodol		
CARMUSTINE	U68WG3173Y	DB00262	Carmustine	DB00262	Carmustine	DB00262	Carmustine
CARNITINE	S7UI8SM58A	DB00583	L-Carnitine	DB02648	(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium		
CAROB	5MG5Z946UO						
CARPINUS CAROLINIANA POLLEN	9UC4BM3IZ0						
CARROT	L56Z1JK48B						
CARTEOLOL	8NF31401XG	DB00521	Carteolol	DB00521	Carteolol		
CARVEDILOL	0K47UL67F2	DB01136	Carvedilol	DB01136	Carvedilol		
CARYA CORDIFORMIS POLLEN	O99P60FU6G						
CARYA GLABRA POLLEN	KPO1Z9N98A						
CARYA ILLINOINENSIS POLLEN	PYO4JR720Y						
CARYA LACINIOSA POLLEN	5BGG872373						
CARYA OVATA POLLEN	54UN9R2798						
CARYA TOMENTOSA POLLEN	G2A764T54B						
CASEIN	48268V50D5						
CASHEW	3H5U5CX7KO						
CASPOFUNGIN	F0XDI6ZL63	DB00520	Caspofungin	DB00520	Caspofungin		
CASTOR OIL	D5340Y2I9G						
CASUARINA EQUISETIFOLIA POLLEN	OZJ4OE173N						
CATFISH	EFN1AL1YP0						
CAULIFLOWER	138LUT2DWV						
CAVIA PORCELLUS HAIR	KBA5Y6X57N						
CAVIA PORCELLUS SKIN	GM3H4U6QS8						
CEFACLOR	69K7K19H4L	DB00833	Cefaclor	DB00833	Cefaclor		
CEFACLOR ANHYDROUS	3Z6FS3IK0K	DB00833	Cefaclor	DB00833	Cefaclor		
CEFADROXIL	280111G160	DB01140	Cefadroxil	DB01140	Cefadroxil		
CEFADROXIL ANHYDROUS	Q525PA8JJB			DB01140	Cefadroxil		
CEFAZOLIN	IHS69L0Y4T	DB01327	Cefazolin	DB01327	Cefazolin		
CEFDINIR	CI0FAO63WC	DB00535	Cefdinir	DB00535	Cefdinir		
CEFDITOREN	81QS09V3YW	DB01066	Cefditoren	DB01066	Cefditoren		
CEFEPIME	807PW4VQE3	DB01413	Cefepime	DB01413	Cefepime		
CEFIXIME ANHYDROUS	XZ7BG04GJX	DB00671	Cefixime				
CEFOPERAZONE	7U75I1278D	DB01329	Cefoperazone	DB01329	Cefoperazone		
CEFOTAXIME	N2GI8B1GK7	DB00493	Cefotaxime	DB00493	Cefotaxime		
CEFOTETAN	48SPP0PA9Q	DB01330	Cefotetan	DB01330	Cefotetan		
CEFOTETAN DISODIUM	0GXP746VXB	DB01330	Cefotetan				
CEFOXITIN	6OEV9DX57Y	DB01331	Cefoxitin	DB01331	Cefoxitin		
CEFPODOXIME	7R4F94TVGY	DB01416	Cefpodoxime				
CEFPROZIL	4W0459ZA4V	DB01150	Cefprozil	DB01150	Cefprozil		
CEFPROZIL ANHYDROUS	1M698F4H4E	DB01150	Cefprozil	DB01150	Cefprozil		
CEFTAROLINE FOSAMIL	7P6FQA5D21						
CEFTAZIDIME	9M416Z9QNR	DB00438	Ceftazidime	DB00438	Ceftazidime		
CEFTAZIDIME ANHYDROUS	DZR1ENT301			DB00438	Ceftazidime		
CEFTIBUTEN	IW71N46B4Y	DB01415	Ceftibuten	DB01415	Ceftibuten		
CEFTIZOXIME	C43C467DPE	DB01332	Ceftizoxime	DB01332	Ceftizoxime		
CEFTRIAXONE	75J73V1629	DB01212	Ceftriaxone	DB01212	Ceftriaxone		
CEFUROXIME	O1R9FJ93ED	DB01112	Cefuroxime	DB01112	Cefuroxime		
CEIBA PENTANDRA FIBER	758Z9H9WV9						
CELECOXIB	JCX84Q7J1L	DB00482	Celecoxib			DB00482	Celecoxib
CELERY	44IDY6DTKX						
CELTIS OCCIDENTALIS POLLEN	68R9X9Y96X						
CENTELLA ASIATICA	7M867G6T1U						
CEPHALEXIN	OBN7UDS42Y	DB00567	Cephalexin	DB00567	Cephalexin		
CEPHALEXIN ANHYDROUS	5SFF1W6677					DB00567	Cephalexin
CERTOLIZUMAB PEGOL	UMD07X179E						
CETIRIZINE	YO7261ME24	DB00341	Cetirizine	DB00341	Cetirizine		
CETRORELIX	OON1HFZ4BA	DB00050	Cetrorelix	DB00050	Cetrorelix		
CETUXIMAB	PQX0D8J21J	DB00002	Cetuximab				
CETYLPYRIDINIUM	CUB7JI0JV3						
CEVIMELINE	K9V0CDQ56E	DB00185	Cevimeline	DB00185	Cevimeline		
CHAETOMIUM GLOBOSUM	5016WB8B8A						
CHENODIOL	0GEI24LG0J	DB06777	Chenodeoxycholic acid	DB06777	Chenodeoxycholic acid		
CHENOPODIUM ALBUM POLLEN	098LKX5NCN						
CHENOPODIUM AMBROSIOIDES POLLEN	WIB701MW2H						
CHENOPODIUM BOTRYS POLLEN	IVU789297D						
CHERRY	BUC5I9595W						
CHICKEN	0X8Q245Y7B						
CHICKPEA	N91637DNW9						
CHLORAL	FLI06WS32H	DB02650	Tri-Chloro-Acetaldehyde			DB02650	Tri-Chloro-Acetaldehyde
CHLORAMBUCIL	18D0SL7309	DB00291	Chlorambucil	DB00291	Chlorambucil		
CHLORAMPHENICOL	66974FR9Q1	DB00446	Chloramphenicol	DB00446	Chloramphenicol	DB00446	Chloramphenicol
CHLORCYCLIZINE	M26C4IP44P						
CHLORDIAZEPOXIDE	6RZ6XEZ3CR	DB00475	Chlordiazepoxide	DB00475	Chlordiazepoxide		
CHLORHEXIDINE	R4KO0DY52L	DB00878	Chlorhexidine	DB00878	Chlorhexidine		
CHLORIC ACID	Z0V9L75H3K						
CHLORIDE ION	Q32ZN48698						
CHLOROPROCAINE	5YVB0POT2H	DB01161	Chloroprocaine	DB01161	Chloroprocaine		
CHLOROQUINE	886U3H6UFF	DB00608	Chloroquine	DB00608	Chloroquine	DB00608	Chloroquine
CHLOROTHIAZIDE	77W477J15H	DB00880	Chlorothiazide	DB00880	Chlorothiazide		
CHLOROXINE	2I8BD50I8B	DB01243	Chloroxine			DB01243	Chloroxine
CHLOROXYLENOL	0F32U78V2Q						
CHLORPHENIRAMINE	3U6IO1965U	DB01114	Chlorpheniramine	DB01114	Chlorpheniramine	DB01114	Chlorpheniramine
CHLORPROMAZINE	U42B7VYA4P	DB00477	Chlorpromazine	DB00477	Chlorpromazine	DB00477	Chlorpromazine
CHLORPROPAMIDE	WTM2C3IL2X	DB00672	Chlorpropamide	DB00672	Chlorpropamide	DB00672	Chlorpropamide
CHLORTHALIDONE	Q0MQD1073Q	DB00310	Chlorthalidone	DB00310	Chlorthalidone	DB00310	Chlorthalidone
CHLORTHEOPHYLLINE	GE2UA340FM						
CHLORZOXAZONE	H0DE420U8G	DB00356	Chlorzoxazone	DB00356	Chlorzoxazone	DB00356	Chlorzoxazone
CHOLECALCIFEROL	1C6V77QF41	DB00169	Cholecalciferol	DB00169	Cholecalciferol	DB00169	Cholecalciferol
CHOLESTYRAMINE	4B33BGI082	DB01432	Cholestyramine				
CHOLINE	N91BDP6H0X	DB00122	Choline	DB00122	Choline	DB00122	Choline
CHORIOGONADOTROPIN ALFA	6413W06WR3	DB00097	Choriogonadotropin alfa				
CHROMATE ION CR-51	SVU4HTP02M						
CHROMIC CATION	X1N4508KF1						
CHROMIUM	0R0008Q3JB						
CICLESONIDE	S59502J185	DB01410	Ciclesonide				
CICLOPIROX	19W019ZDRJ	DB01188	Ciclopirox			DB01188	Ciclopirox
CIDOFOVIR ANHYDROUS	768M1V522C	DB00369	Cidofovir	DB00369	Cidofovir	DB00369	Cidofovir
CILASTATIN	141A6AMN38	DB01597	Cilastatin	DB01597	Cilastatin		
CILOSTAZOL	N7Z035406B	DB01166	Cilostazol	DB01166	Cilostazol	DB01166	Cilostazol
CIMETIDINE	80061L1WGD	DB00501	Cimetidine	DB00501	Cimetidine	DB00501	Cimetidine
CINACALCET	UAZ6V7728S	DB01012	Cinacalcet	DB01012	Cinacalcet	DB01012	Cinacalcet
CINNAMON	5S29HWU6QB						
CIPROFLOXACIN	5E8K9I0O4U	DB00537	Ciprofloxacin	DB00537	Ciprofloxacin		
CISATRACURIUM	QX62KLI41N						
CISPLATIN	Q20Q21Q62J	DB00515	Cisplatin	DB00515	Cisplatin	DB00515	Cisplatin
CITALOPRAM	0DHU5B8D6V	DB00215	Citalopram	DB00215	Citalopram	DB00215	Citalopram
CITRIC ACID, 1-STEARYL ESTER	E945AJ51FA						
CITRUS SINENSIS POLLEN	0U790UB32K						
CLADOSPORIUM CLADOSPORIOIDES	4ZWY20GTGO						
CLADOSPORIUM HERBARUM	O64JF11198						
CLADRIBINE	47M74X9YT5	DB00242	Cladribine	DB00242	Cladribine	DB00242	Cladribine
CLARITHROMYCIN	H1250JIK0A	DB01211	Clarithromycin	DB01211	Clarithromycin		
CLAVULANIC ACID	23521W1S24	DB00766	Clavulanate			DB00766	Clavulanate
CLEMASTINE	95QN29S1ID	DB00283	Clemastine	DB00283	Clemastine		
CLEVIDIPINE	19O2GP3B7Q						
CLIDINIUM	BO76JF850N	DB00771	Clidinium	DB00771	Clidinium		
CLIDINIUM BROMIDE	91ZQW5JF1Z	DB00771	Clidinium				
CLINDAMYCIN	3U02EL437C	DB01190	Clindamycin	DB01190	Clindamycin	DB01190	Clindamycin
CLOBAZAM	2MRO291B4U	DB00349	Clobazam	DB00349	Clobazam	DB00349	Clobazam
CLOBETASOL	ADN79D536H	DB01013	Clobetasol	DB01013	Clobetasol		
CLOCORTOLONE	N8ZUB7XE0H	DB00838	Clocortolone	DB00838	Clocortolone		
CLOFARABINE	762RDY0Y2H	DB00631	Clofarabine	DB00631	Clofarabine		
CLOMIPHENE	1HRS458QU2	DB00882	Clomifene	DB00882	Clomifene		
CLOMIPRAMINE	NUV44L116D	DB01242	Clomipramine	DB01242	Clomipramine	DB01242	Clomipramine
CLONAZEPAM	5PE9FDE8GB	DB01068	Clonazepam	DB01068	Clonazepam	DB01068	Clonazepam
CLONIDINE	MN3L5RMN02	DB00575	Clonidine	DB00575	Clonidine	DB00575	Clonidine
CLOPIDOGREL	A74586SNO7	DB00758	Clopidogrel	DB00758	Clopidogrel		
CLORAZEPIC ACID	D51WO0G0L4	DB00628	Clorazepate	DB00628	Clorazepate	DB00628	Clorazepate
CLOTRIMAZOLE	G07GZ97H65	DB00257	Clotrimazole	DB00257	Clotrimazole	DB00257	Clotrimazole
CLOVE	K48IKT5321						
CLOZAPINE	J60AR2IKIC	DB00363	Clozapine	DB00363	Clozapine	DB00363	Clozapine
COAGULATION FACTOR IX HUMAN	6U90Y1795T						
COAL TAR	R533ESO2EC						
COBALAMIN	8406EY2OQA						
COCAINE	I5Y540LHVR	DB00907	Cocaine	DB00907	Cocaine	DB00907	Cocaine
COCARBOXYLASE	Q57971654Y			DB01987	Thiamin Diphosphate		
COCHLIOBOLUS SATIVUS	3LN5B70U4W						
COCHLIOBOLUS SPICIFER	91M9RWP3TD						
COCOA	D9108TZ9KG						
COCOA BUTTER	512OYT1CRR						
COCONUT	3RT3536DHY						
CODEINE	Q830PW7520	DB00318	Codeine	DB00318	Codeine		
CODEINE ANHYDROUS	UX6OWY2V7J	DB00318	Codeine	DB00318	Codeine	DB00318	Codeine
CODEINE PHOSPHATE	GSL05Y1MN6						
COFFEE BEAN	JFH385Y744					 	 
COLCHICINE	SML2Y3J35T	DB01394	Colchicine	DB01394	Colchicine		
COLESEVELAM	1XU104G55N	DB00930	Colesevelam				
COLESTIPOL	K50N755924	DB00375	Colestipol				
COLFOSCERIL PALMITATE	319X2NFW0A						
COLISTIMETHATE	DL2R53P963	DB01111	Colistimethate				
COLISTIN	Z67X93HJG1	DB00803	Colistin				
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	15Z7208B52	DB00048	Collagenase				
COLLETOTRICHUM COCCODES	Y0M7LGE3Z8						
COMMON CARP	ZB2SV6JJY5						
CONCORD GRAPE	T3PW93IB4Q						
CONIVAPTAN	0NJ98Y462X	DB00872	Conivaptan	DB00872	Conivaptan		
COPPER	789U1901C5						
CORCORUS CAPSULARIS FIBER	TVA75O7S63						
CORN	0N8672707O						
CORTICORELIN OVINE	Y124TZ0513						
CORTICOTROPIN	K0U68Q2TXA	DB01285	Corticotropin				
CORTISONE	V27W9254FZ						
CORYLUS AMERICANA POLLEN	ZGS382Y3AV						
COSYNTROPIN	72YY86EA29	DB01284	Cosyntropin				
COTTON FIBER	70LDW53ROO						
COTTON SEED	DI0ZRJ0MXN						
COW MILK	917J3173FT						
CRANBERRY	0MVO31Q3QS						
CRIZOTINIB	53AH36668S	 	 			DB08700	3-[(1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy]-5-(1-piperidin-4-yl-1H-pyrazol-4-yl)pyridin-2-amine
CROMOLYN	Y0TK0FS77W	DB01003	Cromoglicic acid	DB01003	Cromoglicic acid		
CROMOLYN SODIUM	Q2WXR1I0PK						
CROTAMITON	D6S4O4XD0H	DB00265	Crotamiton			DB00265	Crotamiton
CRYPTHECODINIUM COHNII DHA OIL	8ZJ335A17J						
CTENOCEPHALIDES CANIS	LN7IM9RDEA						
CTENOCEPHALIDES FELIS	5X9Y89ENI9						
CUCUMBER	YY7C30VXJT						
CULTIVATED MUSHROOM	54C8E6W6JY						
CUMIN	AG9BNA51DQ						
CUPRESSUS ARIZONICA POLLEN	232DMH0XVF						
CUPRIC CATION	8CBV67279L						
CUPRIC OXIDE	V1XJQ704R4						
CURCUMA XANTHORRHIZA OIL	F8VF0V2G7H						
CURVULARIA INAEQUALIS	W042YAB8JC						
CYANOCOBALAMIN	P6YC3EG204	DB00115	Cyanocobalamin	DB00115	Cyanocobalamin		
CYCLACHAENA XANTHIFOLIA POLLEN	V80TPZ0T6J						
CYCLOBENZAPRINE	69O5WQQ5TI	DB00924	Cyclobenzaprine	DB00924	Cyclobenzaprine		
CYCLOPENTOLATE	I76F4SHP7J	DB00979	Cyclopentolate	DB00979	Cyclopentolate		
CYCLOPHOSPHAMIDE	8N3DW7272P	DB00531	Cyclophosphamide	DB00437	Allopurinol		
CYCLOPHOSPHAMIDE ANHYDROUS	6UXW23996M			DB00437	Allopurinol		
CYCLOSERINE	95IK5KI84Z	DB00260	Cycloserine	DB00260	Cycloserine		
CYCLOSPORINE	83HN0GTJ6D	DB00091	Cyclosporine	DB00091	Cyclosporine		
CYNODON DACTYLON	2Q8MR21NHK						
CYNODON DACTYLON POLLEN	175F461W10						
CYPROHEPTADINE	2YHB6175DO	DB00434	Cyproheptadine	DB00434	Cyproheptadine	DB00434	Cyproheptadine
CYSTEAMINE	5UX2SD1KE2	DB00847	Cysteamine	DB00847	Cysteamine	DB00847	Cysteamine
CYSTEINE	K848JZ4886	DB00151	L-Cysteine	DB00151	L-Cysteine	DB03201	D-Cysteine
CYTARABINE	04079A1RDZ	DB00987	Cytarabine	DB00987	Cytarabine		
DABIGATRAN ETEXILATE	2E18WX195X	DB06695	Dabigatran etexilate				
DACARBAZINE	7GR28W0FJI	 	 	DB00851	Dacarbazine	DB00851	Dacarbazine
DACTINOMYCIN	1CC1JFE158	DB00970	Dactinomycin	DB00970	Dactinomycin		
DACTYLIS GLOMERATA POLLEN	83N78IDA7P						
DALFAMPRIDINE	BH3B64OKL9						
DALFOPRISTIN	R9M4FJE48E	DB01764	Dalfopristin			DB01764	Dalfopristin
DALTEPARIN	S79O08V79F	DB06779	Dalteparin				
DANAZOL	N29QWW3BUO	DB01406	Danazol	DB01406	Danazol		
DANTROLENE	F64QU97QCR	DB01219	Dantrolene	DB01219	Dantrolene		
DAPSONE	8W5C518302	DB00250	Dapsone	DB00250	Dapsone	DB00250	Dapsone
DAPTOMYCIN	NWQ5N31VKK	DB00080	Daptomycin				
DARBEPOETIN ALFA	15UQ94PT4P	DB00012	Darbepoetin alfa				
DARIFENACIN	APG9819VLM	DB00496	Darifenacin	DB00496	Darifenacin		
DARUNAVIR	YO603Y8113	DB01264	Darunavir	DB01264	Darunavir		
DASATINIB	RBZ1571X5H	DB01254	Dasatinib	DB01254	Dasatinib		
DASATINIB ANHYDROUS	X78UG0A0RN						
DATE	H3O7QI5HY7						
DAUNORUBICIN	ZS7284E0ZP	DB00694	Daunorubicin			DB00694	Daunorubicin
DECITABINE	776B62CQ27	 	 	DB01262	Decitabine	DB01262	Decitabine
DEFERASIROX	V8G4MOF2V9	DB01609	Deferasirox				
DEFERIPRONE	2BTY8KH53L						
