Moiety	UNII	DrugBank (auto)	Label (auto)	DrugBank (Bioportal)	Label (Bioportal)	DrugBank (INCHI)	Label (INCHI)
WATERCRESS	K5877MW0LE						
WATERMELON	231473QB6R						
WHEAT	4J2I0SN84Y						
WHEAT BRAN	6L966A1IMR						
WHITE PEPPER	M29DW54Q9E						
WILLOW BARK	S883J9JDYX						
WINE GRAPE	3GOV20705G						
WITCH HAZEL	101I4J0U34						
XANTHAN GUM	TTV12P4NEE						
XANTHIUM STRUMARIUM POLLEN	2QOF601J1M						
XYLITOL	VCQ006KQ1E						
XYLOMETAZOLINE	WPY40FTH8K	DB06694	Xylometazoline			DB06694	Xylometazoline
ZAFIRLUKAST	XZ629S5L50	DB00549	Zafirlukast	DB00549	Zafirlukast		
ZALCITABINE	6L3XT8CB3I	DB00943	Zalcitabine	DB00943	Zalcitabine		
ZALEPLON	S62U433RMH	DB00962	Zaleplon	DB00962	Zaleplon		
ZANAMIVIR	L6O3XI777I	DB00558	Zanamivir	DB00558	Zanamivir		
ZEA MAYS POLLEN	74PD8J616H						
ZICONOTIDE	7I64C51O16						
ZIDOVUDINE	4B9XT59T7S	DB00495	Zidovudine	DB00495	Zidovudine	DB00495	Zidovudine
ZILEUTON	V1L22WVE2S	DB00744	Zileuton	DB00744	Zileuton		
ZINC	J41CSQ7QDS	DB01593	Zinc	DB01593	Zinc		
ZINC CATION	13S1S8SF37						
ZINC OXIDE	SOI2LOH54Z						
ZINC UNDECYLENATE	388VZ25DUR						
ZIPRASIDONE	6UKA5VEJ6X	DB00246	Ziprasidone	DB00246	Ziprasidone		
ZOLEDRONIC ACID	6XC1PAD3KF	DB00399	Zoledronate				
ZOLEDRONIC ACID ANHYDROUS	70HZ18PH24						
ZOLMITRIPTAN	2FS66TH3YW	DB00315	Zolmitriptan	DB00315	Zolmitriptan	DB00315	Zolmitriptan
ZOLPIDEM	7K383OQI23	DB00425	Zolpidem	DB00425	Zolpidem		
ZONISAMIDE	459384H98V	DB00909	Zonisamide	DB00343	Diltiazem	DB00909	Zonisamide
